,name,pos,type,connection,voltage,connection_length
0,MV1.101 Bus 12,"(3.8925675675671143, 4.947559055119478)",first_bus,,lv,
1,LV3.101 Bus 1,"(3.8925675675671143, 5.55905511811204)",bus,,lv,
2,LV3.101 Bus 50,"(5.338378378378406, 0.277952755906787)",bus,,lv,
3,LV3.101 Bus 61,"(6.4505405405398735, 3.1130708661417943)",bus,,lv,
4,LV3.101 Bus 72,"(6.339324324323925, 4.5584251968507665)",bus,,lv,
5,LV3.101 Bus 83,"(6.339324324323925, 5.058740157481403)",bus,,lv,
6,LV3.101 Bus 94,"(1.0009459459465067, 6.448503937007438)",bus,,lv,
7,LV3.101 Bus 115,"(7.729527027026253, 5.725826771652952)",bus,,lv,
8,LV3.101 Bus 126,"(0.16682432432491165, 3.6133858267724306)",bus,,lv,
9,LV3.101 Bus 2,"(3.6145270270272407, 5.781417322835889)",bus,,lv,
10,LV3.101 Bus 13,"(5.338378378378406, 1.5009448818919098)",bus,,lv,
11,LV3.101 Bus 24,"(1.390202702702329, 6.448503937007438)",bus,,lv,
12,LV3.101 Bus 44,"(5.338378378378406, 1.000629921261273)",bus,,lv,
13,LV3.101 Bus 45,"(6.4505405405398735, 2.112440944884471)",bus,,lv,
14,LV3.101 Bus 46,"(6.839797297296683, 1.834488188977684)",bus,,lv,
15,LV3.101 Bus 47,"(1.0009459459465067, 6.226141732283589)",bus,,lv,
16,LV3.101 Bus 48,"(6.283716216215949, 5.837007874014876)",bus,,lv,
17,LV3.101 Bus 49,"(6.67297297297276, 3.6133858267724306)",bus,,lv,
18,LV3.101 Bus 51,"(0.3892567567568102, 2.946299212600882)",bus,,lv,
19,LV3.101 Bus 52,"(7.729527027026253, 5.447874015750115)",bus,,lv,
20,LV3.101 Bus 53,"(3.8925675675671143, 5.169921259843328)",bus,,lv,
21,LV3.101 Bus 54,"(5.060337837837544, 5.058740157481403)",bus,,lv,
22,LV3.101 Bus 55,"(7.562702702702329, 4.002519685041142)",bus,,lv,
23,LV3.101 Bus 56,"(2.279932432432886, 5.781417322835889)",bus,,lv,
24,LV3.101 Bus 57,"(6.339324324323925, 6.281732283466526)",bus,,lv,
25,LV3.101 Bus 58,"(6.4505405405398735, 2.334803149608321)",bus,,lv,
26,LV3.101 Bus 59,"(5.338378378378406, 5.55905511811204)",bus,,lv,
27,LV3.101 Bus 60,"(0.0, 3.1686614173247314)",bus,,lv,
28,LV3.101 Bus 62,"(6.8954054054046585, 2.112440944884471)",bus,,lv,
29,LV3.101 Bus 63,"(2.780405405405646, 6.448503937007438)",bus,,lv,
30,LV3.101 Bus 64,"(0.7229054054056456, 3.891338582679218)",bus,,lv,
31,LV3.101 Bus 65,"(5.338378378378406, 4.891968503936541)",bus,,lv,
32,LV3.101 Bus 68,"(8.23, 4.780787401574616)",bus,,lv,
33,LV3.101 Bus 69,"(6.339324324323925, 4.8363779527575534)",bus,,lv,
34,LV3.101 Bus 70,"(5.338378378378406, 2.2792125984253833)",bus,,lv,
35,LV3.101 Bus 71,"(6.839797297296683, 2.390393700787308)",bus,,lv,
36,LV3.101 Bus 73,"(7.618310810810304, 3.7245669291343555)",bus,,lv,
37,LV3.101 Bus 74,"(8.23, 2.056850393701534)",bus,,lv,
38,LV3.101 Bus 75,"(0.6672972972976711, 5.781417322835889)",bus,,lv,
39,LV3.101 Bus 76,"(1.056554054054481, 5.55905511811204)",bus,,lv,
40,LV3.101 Bus 77,"(3.670135135135215, 6.5040944881903755)",bus,,lv,
