,name,pos,type,connection,voltage,connection_length
0,mv bus,"(1.28435, 0.0)",first_bus,,lv,
1,busbar,"(1.28435, 0.1511)",bus,,lv,
2,bus 2,"(0.83105, 0.3022)",bus,,lv,
3,bus 3,"(0.7555, 0.45330000000000004)",bus,,lv,
4,bus 4,"(0.6799499999999999, 0.6044)",bus,,lv,
5,bus 5,"(0.6043999999999999, 0.7555000000000001)",bus,,lv,
6,bus 6,"(0.52885, 0.9066000000000001)",bus,,lv,
7,bus 7,"(0.4533, 1.0577)",bus,,lv,
8,bus 8,"(0.37775, 1.2088)",bus,,lv,
9,bus 9,"(0.30219999999999997, 1.3599)",bus,,lv,
10,bus 10,"(0.22665, 1.5110000000000001)",bus,,lv,
11,bus 11,"(0.9066, 0.45330000000000004)",bus,,lv,
12,bus 12,"(0.83105, 0.6044)",bus,,lv,
13,bus 13,"(0.7555, 0.7555000000000001)",bus,,lv,
14,bus 14,"(0.6799499999999999, 0.9066000000000001)",bus,,lv,
15,bus 15,"(0.6043999999999999, 1.0577)",bus,,lv,
16,bus 16,"(0.52885, 1.2088)",bus,,lv,
17,bus 17,"(0.4533, 1.3599)",bus,,lv,
18,bus 18,"(0.37775, 1.5110000000000001)",bus,,lv,
19,bus 19,"(0.22665, 1.6621000000000004)",bus,,lv,
20,bus 20,"(1.1332499999999999, 0.3022)",bus,,lv,
21,bus 21,"(1.0577, 0.45330000000000004)",bus,,lv,
22,bus 22,"(0.9821499999999999, 0.6044)",bus,,lv,
23,bus 23,"(0.9066, 0.7555000000000001)",bus,,lv,
24,bus 24,"(0.83105, 0.9066000000000001)",bus,,lv,
25,bus 25,"(0.7555, 1.0577)",bus,,lv,
26,bus 26,"(0.6799499999999999, 1.2088)",bus,,lv,
27,bus 27,"(0.6043999999999999, 1.3599)",bus,,lv,
28,bus 28,"(0.52885, 1.5110000000000001)",bus,,lv,
29,bus 29,"(0.4533, 1.6621000000000004)",bus,,lv,
30,bus 30,"(0.37775, 1.8132000000000001)",bus,,lv,
31,bus 31,"(0.30219999999999997, 1.9643000000000002)",bus,,lv,
32,bus 32,"(0.22665, 2.1154)",bus,,lv,
33,bus 33,"(0.15109999999999998, 2.2665)",bus,,lv,
34,bus 34,"(0.07554999999999999, 2.4176)",bus,,lv,
35,bus 35,"(0.0, 2.5687)",bus,,lv,
36,bus 36,"(1.2087999999999999, 0.45330000000000004)",bus,,lv,
37,bus 37,"(1.1332499999999999, 0.6044)",bus,,lv,
38,bus 38,"(1.0577, 0.7555000000000001)",bus,,lv,
39,bus 39,"(0.9821499999999999, 0.9066000000000001)",bus,,lv,
40,bus 40,"(0.9066, 1.0577)",bus,,lv,
41,bus 41,"(0.83105, 1.2088)",bus,,lv,
42,bus 42,"(0.7555, 1.3599)",bus,,lv,
43,bus 43,"(0.6799499999999999, 1.5110000000000001)",bus,,lv,
44,bus 44,"(0.6043999999999999, 1.6621000000000004)",bus,,lv,
45,bus 45,"(0.52885, 1.8132000000000001)",bus,,lv,
46,bus 46,"(0.4533, 1.9643000000000002)",bus,,lv,
47,bus 47,"(0.37775, 2.1154)",bus,,lv,
48,bus 48,"(0.30219999999999997, 2.2665)",bus,,lv,
49,bus 49,"(0.22665, 2.4176)",bus,,lv,
50,bus 50,"(0.15109999999999998, 2.5687)",bus,,lv,
51,bus 51,"(0.0, 2.7198)",bus,,lv,
52,bus 52,"(1.43545, 0.3022)",bus,,lv,
53,bus 53,"(1.3598999999999999, 0.45330000000000004)",bus,,lv,
54,bus 54,"(1.28435, 0.6044)",bus,,lv,
55,bus 55,"(1.2087999999999999, 0.7555000000000001)",bus,,lv,
